model,query,image_id,transform,level,label,cosine
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,0.6,brightness_0.6x,0.975511
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,0.8,brightness_0.8x,0.989089
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,1.2,brightness_1.2x,0.993689
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,1.5,brightness_1.5x,0.987679
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,2.0,brightness_2x,0.978577
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,brightness,3.0,brightness_3x,0.950404
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,blur,0.5,blur_0.5px,0.993802
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,blur,1.0,blur_1px,0.947673
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,blur,2.0,blur_2px,0.857483
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,blur,4.0,blur_4px,0.722044
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,saturation,0.2,saturation_0.2x,0.999412
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,saturation,0.4,saturation_0.4x,0.999626
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,saturation,0.7,saturation_0.7x,0.999904
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,saturation,1.3,saturation_1.3x,0.999817
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,saturation,1.7,saturation_1.7x,0.999063
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,saturation,2.5,saturation_2.5x,0.996682
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,hue,-0.3,hue_-0.3,0.998794
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,hue,-0.15,hue_-0.15,0.999128
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,hue,0.15,hue_0.15,0.999103
resnet18,2,archive/ut-zap50k-images-square/ut-zap50k-images-square/Boots/Ankle/Michael Antonio/8067446.3.jpg,hue,0.3,hue_0.3,0.998634
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,rotation,5.0,rotation_5deg,0.926017
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,rotation,10.0,rotation_10deg,0.885492
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,rotation,20.0,rotation_20deg,0.846259
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,rotation,45.0,rotation_45deg,0.83505
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,rotation,90.0,rotation_90deg,0.797927
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,rotation,180.0,rotation_180deg,0.792782
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,crop,0.9,crop_0.9x,0.964595
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,crop,0.8,crop_0.8x,0.919882
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,crop,0.7,crop_0.7x,0.854685
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,crop,0.5,crop_0.5x,0.725028
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,crop,0.3,crop_0.3x,0.654847
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,0.2,brightness_0.2x,0.915204
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,0.4,brightness_0.4x,0.948962
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,0.6,brightness_0.6x,0.970858
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,0.8,brightness_0.8x,0.986554
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,1.2,brightness_1.2x,0.98979
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,1.5,brightness_1.5x,0.96174
